age,brand,model,price_usd,rating,sentiment,country,language,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,Cluster
45,4,15,337.31,2.0,0,4,2,1,1,1,3,2,1,1,1,0
18,4,15,307.78,4.0,2,1,3,1,3,2,4,3,2,5,3,1
27,1,10,864.53,4.0,2,4,2,1,3,5,3,2,4,8,0,1
19,6,17,660.94,3.0,2,5,0,0,1,3,2,1,2,3,1,1
38,2,0,792.13,3.0,1,1,3,1,3,3,2,2,1,0,2,0
38,0,19,948.79,5.0,2,1,3,0,5,4,5,5,4,6,0,2
40,3,8,420.13,3.0,2,5,0,0,3,3,2,1,2,2,4,1
39,0,21,1443.76,2.0,0,0,0,1,2,1,2,2,2,3,1,0
32,4,15,275.73,4.0,2,3,1,0,4,3,2,3,3,8,4,1
31,3,9,545.57,3.0,2,0,0,1,2,2,3,3,2,4,2,1
20,4,15,462.3,3.0,1,6,0,1,4,1,3,5,2,0,4,0
30,6,5,495.45,2.0,1,2,0,1,1,2,1,2,1,2,1,0
18,2,6,404.64,5.0,2,1,3,1,5,5,3,5,5,7,0,1
32,4,16,247.88,2.0,0,2,0,0,1,3,2,1,2,2,4,0
39,5,2,1146.49,3.0,1,6,0,1,2,3,1,2,3,4,2,0
19,4,16,262.0,2.0,1,1,3,0,2,1,2,2,1,3,3,0
18,1,11,1010.68,4.0,2,7,0,1,4,4,3,4,4,11,3,1
39,2,14,678.98,2.0,2,1,3,1,2,1,2,1,1,1,0,0
18,6,13,432.8,5.0,2,3,1,1,4,5,5,3,4,2,1,1
43,4,16,403.17,5.0,2,0,0,1,5,5,5,5,4,3,4,1
46,0,21,1470.12,1.0,0,6,0,0,1,1,1,1,1,3,2,0
22,2,14,567.03,5.0,2,2,0,1,3,4,5,4,4,5,0,1
53,2,14,227.18,4.0,2,4,2,1,4,4,3,4,4,9,1,1
25,3,9,395.08,4.0,2,2,0,0,4,4,3,3,3,10,1,1
27,0,20,997.61,3.0,2,7,0,1,2,4,3,3,4,2,4,2
27,1,12,506.5,2.0,0,3,1,0,1,3,3,1,1,3,0,0
29,2,14,673.77,3.0,2,2,0,0,1,4,2,3,3,2,2,2
25,6,13,236.38,3.0,0,5,0,1,3,1,1,2,2,4,2,0
29,0,18,1094.1,3.0,2,2,0,1,4,3,3,3,1,3,1,2
30,5,3,1369.88,3.0,2,4,2,1,3,3,3,5,3,5,2,1
39,4,16,298.0,1.0,0,2,0,1,1,1,1,1,2,0,0,0
33,1,11,1084.64,1.0,0,2,0,1,2,1,1,1,1,5,1,0
25,4,16,571.75,2.0,2,0,0,1,1,3,1,3,1,0,1,0
45,4,15,543.18,1.0,0,4,2,0,1,1,1,1,1,3,1,0
45,5,1,1071.57,4.0,2,2,0,1,4,5,5,4,2,4,3,1
40,3,9,438.64,4.0,2,2,0,0,2,2,1,3,4,8,0,1
34,0,19,906.6,4.0,2,4,2,1,5,2,3,3,2,5,4,2
21,6,17,220.43,4.0,2,1,3,1,3,2,3,4,1,4,4,1
27,3,9,917.83,1.0,0,3,1,1,1,1,1,1,1,2,2,0
38,5,3,1147.47,2.0,2,4,2,1,1,2,2,1,2,4,4,0
19,1,10,512.04,3.0,2,6,0,0,4,3,2,4,3,5,1,1
18,1,12,887.55,2.0,1,2,0,0,2,1,1,1,1,2,0,0
29,5,3,924.51,4.0,2,7,0,0,4,4,3,3,4,5,3,1
25,4,16,358.68,4.0,2,2,0,1,3,2,4,2,4,3,2,1
37,6,5,267.21,4.0,2,7,0,1,5,4,3,5,2,7,0,1
28,0,19,1292.9,2.0,1,2,0,1,2,1,2,1,1,3,2,0
43,0,18,1401.76,4.0,2,0,0,1,3,1,5,3,2,8,0,2
36,4,16,238.49,3.0,1,4,2,0,5,3,3,2,2,2,1,0
38,5,2,969.89,2.0,1,7,0,1,3,1,1,1,2,3,2,0
31,3,7,574.7,5.0,2,2,0,1,5,4,2,5,5,4,2,1
34,1,11,917.99,1.0,0,3,1,1,2,2,2,1,1,2,2,0
55,0,19,1436.673202614379,1.0,0,0,0,1,1,1,1,2,1,0,4,0
30,1,10,700.1,5.0,2,1,3,1,3,3,4,5,4,3,3,1
48,1,12,1048.91,3.0,2,0,0,1,4,2,1,5,3,4,4,2
18,3,9,473.95,5.0,2,4,2,1,5,2,2,3,3,6,4,1
39,3,7,366.5,4.0,2,1,3,0,5,4,2,3,4,3,3,1
41,2,0,633.36,1.0,0,6,0,1,1,1,1,1,1,3,2,0
18,2,6,355.65,3.0,2,2,0,1,3,1,4,1,4,8,1,1
36,6,17,211.23,5.0,2,5,0,0,4,4,3,5,3,4,4,1
32,3,9,438.98,2.0,0,2,0,1,2,3,3,1,1,1,4,0
22,3,9,458.08,3.0,1,7,0,1,2,1,2,1,2,4,4,0
36,4,16,270.27,5.0,2,4,2,1,3,4,4,3,5,2,2,1
48,0,19,1282.55,3.0,2,1,3,1,3,2,3,3,3,3,0,2
31,0,20,1460.19,3.0,2,2,0,1,1,3,3,3,4,7,1,2
18,1,10,923.35,2.0,0,2,0,1,1,3,1,2,2,2,2,0
19,1,11,857.76,4.0,2,7,0,1,5,3,4,4,2,6,2,2
40,6,13,635.05,4.0,2,3,1,1,3,5,5,3,3,4,4,1
18,4,15,300.64,5.0,2,3,1,1,3,3,5,4,4,8,3,1
24,6,13,503.87,3.0,2,0,0,1,2,2,2,4,4,4,3,1
21,1,11,822.18,3.0,2,6,0,1,2,1,2,2,3,1,0,0
20,3,8,615.49,5.0,2,2,0,0,4,4,5,3,1,10,3,1
40,0,19,1266.69,1.0,0,2,0,1,2,2,1,1,1,2,4,0
30,5,4,1217.97,1.0,0,5,0,1,1,1,1,1,1,2,1,0
29,2,0,656.62,3.0,2,1,3,0,3,3,3,2,3,4,0,1
24,6,17,510.46,4.0,2,2,0,1,3,1,4,5,2,6,4,1
18,4,16,214.6,2.0,1,5,0,0,2,2,1,3,1,1,4,0
33,2,14,790.39,4.0,2,5,0,1,2,5,3,5,4,5,3,1
29,2,14,752.51,3.0,1,3,1,1,4,2,4,2,1,0,2,0
39,6,17,490.99,3.0,2,3,1,1,2,2,2,2,5,4,0,1
29,0,18,1084.41,4.0,2,6,0,1,2,5,4,3,4,3,3,2
27,0,20,726.56,3.0,2,1,3,1,4,3,2,3,4,2,3,2
33,2,6,524.78,3.0,1,1,3,1,3,2,4,3,3,3,0,0
24,6,5,565.79,3.0,2,4,2,1,3,4,5,2,2,5,4,1
40,1,10,518.39,5.0,2,2,0,1,4,5,5,3,4,5,4,1
24,0,20,1280.21,3.0,2,0,0,0,3,3,3,1,4,4,3,2
29,1,10,1082.84,5.0,2,4,2,1,5,5,4,5,2,5,4,2
33,5,4,1056.74,4.0,2,6,0,1,3,4,4,2,4,5,3,1
26,6,5,218.33986928104574,3.0,1,0,0,1,4,2,2,3,2,1,4,0
30,3,8,525.34,5.0,2,5,0,0,5,4,5,3,5,5,2,1
36,5,3,707.93,3.0,1,4,2,1,1,2,4,2,3,5,1,1
41,1,12,1021.34,3.0,1,2,0,1,3,1,4,1,3,1,0,0
33,5,4,1377.17,3.0,2,3,1,1,3,4,3,2,3,7,1,1
18,2,0,526.6881720430107,3.0,2,3,1,0,4,2,2,1,2,3,0,1
39,4,16,440.19,3.0,2,1,3,1,2,1,5,1,1,7,3,1
32,0,21,856.62,5.0,2,7,0,1,5,4,4,4,3,6,4,2
28,4,16,294.5,4.0,2,7,0,1,3,3,4,5,4,5,4,1
31,2,6,530.14,4.0,2,7,0,1,5,4,3,4,4,6,4,1
23,4,15,525.5,3.0,2,1,3,1,3,2,5,1,3,4,0,1
32,2,6,585.18,1.0,1,5,0,1,2,1,1,1,1,2,2,0
35,2,0,615.46,1.0,0,7,0,1,2,1,1,1,1,1,4,0
18,1,10,541.65,4.0,2,1,3,1,4,4,2,4,5,6,2,1
20,5,4,1357.63,3.0,2,2,0,1,3,2,3,4,2,6,0,2
31,4,16,596.84,2.0,0,4,2,1,4,2,2,1,2,2,4,0
