brand,model,rating,price_usd
4,15,2.0,337.31
4,15,4.0,307.78
1,10,4.0,864.53
6,17,3.0,660.94
2,0,3.0,792.13
0,19,5.0,948.79
3,8,3.0,420.13
0,21,2.0,1443.76
4,15,4.0,275.73
3,9,3.0,545.57
4,15,3.0,462.3
6,5,2.0,495.45
2,6,5.0,404.64
4,16,2.0,247.88
5,2,3.0,1146.49
4,16,2.0,262.0
1,11,4.0,1010.68
2,14,2.0,678.98
6,13,5.0,432.8
4,16,5.0,403.17
0,21,1.0,1470.12
2,14,5.0,567.03
2,14,4.0,227.18
3,9,4.0,395.08
0,20,3.0,997.61
1,12,2.0,506.5
2,14,3.0,673.77
6,13,3.0,236.38
0,18,3.0,1094.1
5,3,3.0,1369.88
4,16,1.0,298.0
1,11,1.0,1084.64
4,16,2.0,571.75
4,15,1.0,543.18
5,1,4.0,1071.57
3,9,4.0,438.64
0,19,4.0,906.6
6,17,4.0,220.43
3,9,1.0,917.83
5,3,2.0,1147.47
1,10,3.0,512.04
1,12,2.0,887.55
5,3,4.0,924.51
4,16,4.0,358.68
6,5,4.0,267.21
0,19,2.0,1292.9
0,18,4.0,1401.76
4,16,3.0,238.49
5,2,2.0,969.89
3,7,5.0,574.7
1,11,1.0,917.99
0,19,1.0,1436.673202614379
1,10,5.0,700.1
1,12,3.0,1048.91
3,9,5.0,473.95
3,7,4.0,366.5
2,0,1.0,633.36
2,6,3.0,355.65
6,17,5.0,211.23
3,9,2.0,438.98
3,9,3.0,458.08
4,16,5.0,270.27
0,19,3.0,1282.55
0,20,3.0,1460.19
1,10,2.0,923.35
1,11,4.0,857.76
6,13,4.0,635.05
4,15,5.0,300.64
6,13,3.0,503.87
1,11,3.0,822.18
3,8,5.0,615.49
0,19,1.0,1266.69
5,4,1.0,1217.97
2,0,3.0,656.62
6,17,4.0,510.46
4,16,2.0,214.6
2,14,4.0,790.39
2,14,3.0,752.51
6,17,3.0,490.99
0,18,4.0,1084.41
0,20,3.0,726.56
2,6,3.0,524.78
6,5,3.0,565.79
1,10,5.0,518.39
0,20,3.0,1280.21
1,10,5.0,1082.84
5,4,4.0,1056.74
6,5,3.0,218.33986928104574
3,8,5.0,525.34
5,3,3.0,707.93
1,12,3.0,1021.34
5,4,3.0,1377.17
2,0,3.0,526.6881720430107
4,16,3.0,440.19
0,21,5.0,856.62
4,16,4.0,294.5
2,6,4.0,530.14
4,15,3.0,525.5
2,6,1.0,585.18
2,0,1.0,615.46
1,10,4.0,541.65
5,4,3.0,1357.63
4,16,2.0,596.84
6,13,4.0,351.56
0,21,4.0,1353.96
3,9,5.0,676.67
3,9,2.0,752.73
0,18,4.0,1199.12
2,14,4.0,449.69
5,2,2.0,724.68
1,11,3.0,652.7948717948718
3,9,2.0,682.94
3,9,5.0,463.17
4,15,4.0,515.46
0,20,4.0,1045.66
3,7,2.0,704.27
2,0,3.0,378.53
5,3,2.0,1133.07
6,5,1.0,638.33
0,18,3.0,1195.67
5,1,5.0,458.55
1,10,1.0,752.75
4,16,4.0,332.14
0,20,4.0,1282.35
4,15,4.0,298.52
6,13,4.0,405.55
4,16,4.0,417.44
4,15,4.0,477.29
4,16,3.0,518.69
0,20,3.0,752.16
1,11,3.0,880.75
5,2,4.0,602.02
2,0,5.0,297.34
5,3,1.0,894.21
1,10,3.0,770.21
6,13,2.0,287.44
4,15,4.0,193.94
3,8,3.0,597.26
1,11,3.0,1077.69
6,5,4.0,434.38
0,21,4.0,1335.66
6,17,3.0,503.54
2,6,2.0,503.76
6,13,3.0,458.29
3,7,3.0,574.4
6,5,4.0,518.2
4,16,4.0,213.68
6,17,4.0,466.98
3,9,2.0,629.46
1,10,2.0,887.49
4,16,4.0,383.95
3,7,4.0,841.54
3,7,3.0,702.11
6,5,4.0,269.6
3,7,1.0,976.62
2,14,2.0,477.61
2,0,5.0,788.44
4,15,1.0,443.17
4,15,3.0,582.13
5,1,4.0,807.54
2,6,4.0,441.72
5,1,5.0,1288.66
0,21,4.0,927.42
1,11,5.0,1003.6
1,11,3.0,796.29
4,16,1.0,331.22
6,17,1.0,436.14
4,16,4.0,479.55
6,5,3.0,368.67
2,6,3.0,778.1
5,3,3.0,693.31
0,19,4.0,752.56
0,18,2.0,1348.8985507246377
0,21,3.0,817.84
4,15,4.0,249.61
1,11,2.0,975.56
1,12,1.0,839.05
1,12,5.0,757.22
4,16,4.0,330.59945504087193
6,13,3.0,490.04
3,7,1.0,484.6
1,10,5.0,522.54
6,17,2.0,385.47
6,5,3.0,590.32
6,5,5.0,660.5
0,19,3.0,1457.67
2,0,4.0,717.58
3,7,3.0,788.11
0,18,5.0,1248.36
2,14,4.0,366.71
2,14,5.0,489.82
4,16,2.0,186.35
1,10,2.0,592.9
0,18,4.0,1166.34
3,7,4.0,820.24
5,3,3.0,648.38
1,11,2.0,722.67
3,9,5.0,808.55
0,18,2.0,1311.55
5,1,2.0,649.96
4,16,1.0,261.4230769230769
1,10,2.0,607.55
6,17,3.0,311.18
6,13,4.0,450.06
5,4,4.0,819.27
6,13,1.0,627.49
4,16,2.0,452.29
1,10,3.0,933.64
5,3,3.0,540.32
2,14,3.0,293.89
2,14,1.0,429.68
5,4,3.0,590.93
1,12,4.0,919.37
0,19,5.0,753.8
1,10,4.0,958.61
6,13,3.0,314.44
0,20,2.0,1100.29
0,18,2.0,1064.14
3,9,4.0,722.19
0,21,2.0,1342.11
3,9,4.0,600.64
3,9,4.0,516.7
4,16,2.0,240.51
1,11,3.0,751.16
3,9,4.0,894.85
2,0,2.0,586.85
5,1,2.0,774.55
6,13,4.0,637.04
2,6,4.0,324.52
2,6,5.0,322.67
2,6,4.0,469.42
4,15,1.0,417.63
5,4,2.0,717.55
6,17,2.0,371.69
3,8,3.0,386.14
2,0,4.0,405.26
4,15,1.0,455.95
3,8,4.0,987.37
5,2,4.0,1092.01
6,17,5.0,242.34
5,1,2.0,875.6
1,11,3.0,712.8
1,10,3.0,737.16
3,9,5.0,790.33
2,14,3.0,223.56
2,14,2.0,562.12
2,0,1.0,654.37
2,0,1.0,700.97
6,5,3.0,593.69
2,14,1.0,455.67
6,13,3.0,446.27
4,16,3.0,331.65
0,20,2.0,1237.91
3,7,4.0,995.18
5,4,5.0,1179.5228758169935
1,11,3.0,961.15
3,7,5.0,403.04
0,18,3.0,755.52
0,18,3.0,917.56
1,12,1.0,998.91
0,19,1.0,1132.2435897435896
3,9,4.0,411.73
5,3,1.0,978.49
0,21,5.0,927.63
4,15,4.0,425.95
2,0,3.0,621.04
3,9,4.0,428.29
4,16,4.0,348.3
4,15,4.0,233.26975476839237
4,15,3.0,561.37
5,2,3.0,1340.88
3,7,4.0,988.64
3,8,1.0,883.32
1,10,5.0,863.05
0,19,4.0,1009.37
6,13,3.0,486.93
6,17,4.0,261.64
5,4,5.0,735.37
5,2,2.0,749.94
1,10,5.0,938.52
6,17,3.0,266.5
2,14,5.0,645.36
4,16,5.0,431.71
6,5,5.0,648.29
6,17,3.0,353.21
6,13,5.0,605.93
5,2,4.0,1297.39
1,10,2.0,969.13
1,11,4.0,743.2
6,5,3.0,443.09
1,10,4.0,571.97
4,16,4.0,546.68
5,2,3.0,1238.85
1,11,1.0,1076.85
3,9,4.0,573.66
1,11,5.0,751.38
6,17,1.0,657.5
5,3,2.0,1021.33
6,13,4.0,589.02
3,7,4.0,612.26
6,13,3.0,676.7
1,11,4.0,1045.66
3,9,4.0,605.66
2,14,4.0,426.42
6,5,2.0,669.03
3,9,4.0,879.35
3,7,5.0,924.39
5,1,1.0,489.76000000000005
0,20,2.0,832.98
0,18,5.0,905.65
3,9,1.0,866.06
5,4,3.0,1148.96
4,16,5.0,367.63
3,9,5.0,933.31
2,14,2.0,299.3
5,4,1.0,1119.25
1,10,4.0,855.03
3,8,1.0,633.56
3,8,2.0,709.33
3,9,1.0,419.0
4,15,4.0,196.77
4,16,3.0,371.37
5,4,2.0,416.03
6,13,3.0,490.86
1,11,3.0,953.87
1,12,4.0,961.44
0,18,3.0,1450.54
5,4,4.0,1201.84
4,15,4.0,379.21
0,19,2.0,1253.38
0,20,4.0,1473.36
2,14,3.0,783.11
6,17,3.0,669.96
6,13,2.0,210.92
6,13,3.0,507.53
6,5,3.0,699.4
0,20,1.0,1348.55
0,20,4.0,1481.97
1,12,4.0,708.1800000000001
3,7,4.0,771.39
5,4,3.0,1267.06
4,15,4.0,342.24
4,16,4.0,464.2875816993464
5,4,2.0,747.8188405797102
2,6,5.0,680.08
1,12,3.0,920.94
6,5,1.0,575.9
3,9,3.0,501.36
4,15,2.0,450.44
5,1,3.0,835.01
6,17,3.0,224.65
3,9,4.0,998.49
2,6,2.0,695.83
2,0,2.0,783.54
1,10,4.0,775.58
6,13,4.0,621.86
4,16,2.0,200.58
5,4,4.0,752.48
2,14,2.0,388.5
0,18,3.0,815.39
1,10,3.0,743.28
6,17,2.0,528.28
0,20,2.0,804.26
5,2,2.0,855.57
6,13,4.0,418.88
4,15,3.0,337.63
0,19,2.0,1230.29
1,12,1.0,663.03
6,5,3.0,565.94
4,15,3.0,240.61
5,4,3.0,419.97
